2024-04-14~21:20:13,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:20:48,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:21:21,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:21:56,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:22:30,qwen-1.5-7B-Chat,0.5,task_1,1,0,0,1
2024-04-14~21:23:05,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:23:38,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:24:14,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:24:38,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:25:00,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:25:24,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:25:47,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:26:12,qwen-1.5-7B-Chat,0.5,task_1,1,0,1,0
2024-04-14~21:26:35,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:26:59,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:27:23,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:27:46,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:28:05,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:28:30,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:28:51,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:29:10,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:29:34,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:29:51,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:30:15,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:30:36,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:30:58,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:31:25,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:31:47,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:32:10,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:32:34,qwen-1.5-7B-Chat,0.5,task_1,1,1,0,0
2024-04-14~21:43:57,qwen-1.5-7B-Chat,0.5,task_2,1,1,1,0
2024-04-14~21:44:15,qwen-1.5-7B-Chat,0.5,task_2,1,1,0,0
2024-04-14~21:44:43,qwen-1.5-7B-Chat,0.5,task_2,1,1,0,0
